"DetailID","RiskSourceDet","txtDetCompositeWeight","BUManagerDet","OSVendorDet","txtLocation","Threat","Risk","Mitigations","Response","Customers","Impact","Controls","ControlsWeight","PolicyRate","PolicyWeight","InherentRisk","VendorRisk","VendorRiskWeight","MarketRisk","MarketRiskWeight","OperationalRisk","OperationalRiskWeight","ComplianceRisk","ComplianceRiskWeight","StrategicRisk","StrategicRiskWeight","ReputationRisk","ReputationRiskWeight","CreditRisk","CreditRiskWeight","FiduciaryRisk","FiduciaryRiskWeight","RegulatoryLegalRisk","RegulatoryLegalRiskWeight","HumanResourceRisk","HumanResourceRiskWeight","CompositeRisk","RiskRating","ReviewDate","BSARisk","RegulatoryRisk","CISPRisk","AuditRisk","ComplianceRiskCK","RedFlagRisk","Outsourced","RiskManagerDet","RiskManager2Det","RiskManager3Det","RiskManager4Det","PolicyDet","Policy2Det","Policy3Det","Policy4Det","FrequencyDet","PriorRating","IntPriorRating","Comments","Trend","LastReviewer","PriorRatingCalc","RiskTypeDet","Required","calInherentRiskRating","txtAuditReviewFreq","nbrVendorIRR","dteLastAudit","dteNextAudit","memAuditComments"
49,"Customer Information Security",5.00,"Retail Services",,"Main Bank & Unique Service Locations","Unauthorized copying of customer information to a USB, PDA, Smart Phones, or other removable storage devices","Customer information database in electronic form","Bank will review reports from USB Monitoring Software and review information copied.","Immediate notification of the the bank's Information Security Officer.   ISO will report breach to President",3.25,3.25,0.50,1.00,0.50,1.00,3.50,2.00,1.00,1.75,1.00,3.25,1.00,3.50,1.00,2.00,1.00,4.00,1.00,2.50,1.00,1.00,1.00,2.50,1.00,1.00,1.00,2.35,1.54,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.41,1.41,"Main Bank General CISP Risk","Threat Increasing","MDT",,"Reputational Risk",,3.08,,,,,
50,"Customer Information Security",5.00,"Lending",,"Main Bank & Unique Service Locations","Mortgage loan files with personal information could be compromised via physical attacks, logical attacks, facsimile, or communication to real estate or title offices.","Mortgage Systems","Hard copy physical files are protected by physical security controls.  Locked, fireproof storage of files is maintained.  Employee security training is accomplished and documented on an annual basis.","Immediate notification of bank Information Security Officer and network administrator.  Check of logs and other audit tools to help verify missing information.  Convene Senior Management and implement incident response procedures.",2.50,3.25,0.75,1.00,0.75,1.00,2.50,2.00,1.00,1.75,1.00,3.50,1.00,3.25,1.00,1.75,1.00,4.00,1.00,2.75,1.00,1.00,1.00,2.50,1.00,1.50,1.00,2.40,1.99,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.99,1.99,"Southwest Drive","Threat Unchanged","MDT",,"Reputational Risk",,2.66,,,,,
52,"Customer Information Security",5.00,"Information Security",,"Main Bank & Unique Service Locations","Unauthorized access to customer information or unauthorized access to paper copies of private financial information.  Rogue hackers use social engineering techniques to fake identities of authorized customers or employees.","Customer information database (electronic) and printed reports containing customer information.","GLBA employee training is conducted one time per year. Additional employee training for techniques that can be used to verify customer identity. Bank policy prohibits unauthorized disclosure.  Information Security Program is tested annually by external auditors and tested quarterly by internal auditors.  Password protected screen saver policy blanks out screens in 15 minutes.","Immediate notification of bank Information Security Officer and network administrator.  Check of logs and other audit tools to help verify missing information.  Convene Senior Management and implement incident response procedures.",2.25,3.75,0.50,1.00,0.50,1.00,3.00,2.50,1.00,1.75,1.00,3.50,1.00,3.00,1.00,1.75,1.00,4.00,1.00,1.50,1.00,1.00,1.00,3.25,1.00,1.50,1.00,2.37,1.42,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.42,1.42,"Southwest Drive Tellers","Threat Unchanged","MDT",,"Reputational Risk",,2.84,,,,,
53,"Customer Information Security",5.00,"Information Security",,"Main Bank & Unique Service Locations","Unauthorized personnel may view and copy customer information to use maliciously to damage reputations or create financial loss.","Customer information such as balances that are on printed paper or left on computer screens.","Employee training and education of possible customer information attacks and methods.  Bank policy of monitor screen savers for unattended workstations, logouts when equipment is not in use, and clean desk policies.  Shred policies and procedures for customer information.","Immediate notification of the bank Information Security Officer.  Convene senior management and implement incident response.",2.00,3.50,0.75,1.00,0.75,1.00,2.50,2.50,1.00,2.00,1.00,3.50,1.00,3.25,1.00,2.50,1.00,3.50,1.00,1.00,1.00,1.00,1.00,1.50,1.00,1.00,1.00,2.17,1.90,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.90,1.90,,"Threat Unchanged","MDT",,"Reputational Risk",,2.54,,,,,
57,"Customer Information Security",5.00,"Physical Security",,"Main Bank & Unique Service Locations","Bank employees and bank board of directors have access to this information.  Additionally, Vendors have access to bank customer information files and non-public information.   Vendor vulnerabilities or weaknesses related to bank data could be divulged.","Customer Information - New Account information such as signature cards, maintenance change sheets, information on accounts not opened (Hard copy only), non-traditional services such as insurance, annuities, etc.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",2.75,3.50,0.75,1.00,0.75,1.00,2.50,2.00,1.00,2.00,1.00,3.50,1.00,4.00,1.00,2.00,1.00,3.75,1.00,2.00,1.00,1.00,1.00,2.50,1.00,1.00,1.00,2.37,2.08,1/7/2011 0:00:00,0,1,1,0,1,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",2.08,2.08,,"Threat Unchanged","MDT",,"Compliance Risk",,2.78,,,,,
61,"Customer Information Security",5.00,"Lending",,"Main Bank & Unique Service Locations","Rogue employee or identity thief could steal the file and use if for financial gain or reputation damage.","Customer Information - Hard copies of loan files which contain credit reports, financial statements, collateral, insurance etc.","Paper loan files are stored in the note vault.  The note vault is manned any time the bank is open.  Removal or check out of loan files is controlled by a UPC system.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management. Immediate restriction of access to the loan database.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",2.50,2.75,0.25,1.00,0.25,1.00,2.50,1.00,1.00,1.00,1.00,3.00,1.00,3.25,1.00,1.00,1.00,3.25,1.00,1.00,1.00,1.00,1.00,2.50,1.00,1.00,1.00,1.80,0.59,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",0.59,0.59,"Northwest Arkansas Note Department","Threat Unchanged","MDT",,"Reputational Risk",,2.38,,,,,
68,"Customer Information Security",5.00,"Retail Services",,"Mall New Account & Customer Service","Bank employees and bank board of directors have access to this information.  Additionally, Vendors have access to bank customer information files and non-public information.   Vendor vulnerabilities or weaknesses related to bank data could be divulged.","Customer Information - New Account information such as signature cards, maintenance change sheets, information on accounts not opened (Hard copy only), non-traditional services such as insurance, annuities, etc.","All information is maintained in accordance with the retention schedule.  Employee training procedures cover both the maintenance and release of this information.  Training procedures are outlined in this policy and the bank's Information Technology Operations Policy.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",2.50,3.50,0.75,1.00,0.75,1.00,3.25,2.00,1.00,1.75,1.00,3.25,1.00,3.25,1.00,1.75,1.00,3.25,1.00,2.75,1.00,1.00,1.00,2.50,1.00,1.00,1.00,2.25,2.15,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",2.15,2.15,,"Threat Unchanged","MDT",,"Operational Risk",,2.87,,,,,
72,"Customer Information Security",5.00,"Information Security",,"Mall New Account & Customer Service","Unauthorized copying of customer information to a USB, PDA, or other removable storage devices","Customer information database in electronic form","Bank will review reports from USB Monitoring Software and review information copied.","Immediate notification of the the bank's Information Security Officer.   ISO will report breach to President",2.75,3.25,0.50,1.00,0.50,1.00,3.50,2.50,1.00,2.00,1.00,3.25,1.00,3.25,1.00,2.00,1.00,3.50,1.00,2.00,1.00,1.00,1.00,3.75,1.00,1.00,1.00,2.42,1.49,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.49,1.49,"Mall New Account & Customer Service","Threat Unchanged","MDT",,"Reputational Risk",,2.98,,,,,
73,"Customer Information Security",5.00,"Trust",,"Main Bank & Unique Service Locations","Unauthorized employee disclosure, unauthorized access to the trust vaulut, and improper disposal.  Employee access includes bank board, trust employees, trust officers, and bank senior management.","Customer Information - Trust Documents (Hard and electronic copy) includes application, agreements, deeds, etc.  Printed reports containing customer information.","Employee training procedures documented in the bank Information Technology Operations Policy and the bank Customer Information Security Policy.  Certified destruction by bonded shredding services (Shred-It) for disposal of information.  Employee electronic access is controlled by computer security levels.  Security logs and network auditing reports provide additional controls to review unauthorized access attempts.  Shared printers in this area are not in regular customer areas.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",2.75,3.25,0.75,1.00,0.75,1.00,3.50,2.00,1.00,1.75,1.00,3.50,1.00,3.25,1.00,2.00,1.00,3.50,1.00,1.75,1.00,1.00,1.00,2.75,1.00,1.00,1.00,2.25,2.20,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",2.20,2.20,"Trust Departments - All Locations","Threat Unchanged","MDT",,"Operational Risk",,2.93,,,,,
75,"Customer Information Security",5.00,"Information Security",,"Trust Departments - All Locations","Unauthorized copying of customer information to a USB, PDA, Smart Phones, or other removable storage devices","Customer information database in electronic form","Bank will review reports from USB Monitoring Software and review information copied.","Immediate notification of the the bank's Information Security Officer.   ISO will report breach to President",2.00,4.00,0.50,1.00,0.50,1.00,3.50,2.50,1.00,2.00,1.00,4.00,1.00,3.75,1.00,2.00,1.00,3.75,1.00,1.50,1.00,1.00,1.00,2.50,1.00,1.00,1.00,2.40,1.48,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.48,1.48,"Trust Departments - All Locations","Threat Unchanged","MDT",,"Reputational Risk",,2.97,,,,,
79,"Customer Information Security",5.00,"Retail Services",,"Large Branch & Backup Site","Unauthorized employee disclosure, improper disposal.  Employee access includes new accounts personnel, tellers, and bank senior management.","Customer Information - New Account information such as signature cards, new account setup sheets, information on accounts not opened (Hard copy only)","All information is maintained in accordance with the retention schedule.  Employee training procedures cover both the maintenance and release of this information.  Training procedures are outlined in this policy and the bank's Information Technology Operations Policy.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",2.50,3.50,0.75,1.00,0.75,1.00,3.25,2.00,1.00,1.75,1.00,3.25,1.00,3.50,1.00,2.00,1.00,2.75,1.00,1.75,1.00,1.00,1.00,2.75,1.00,1.00,1.00,2.17,2.14,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",2.14,2.14,,"Threat Unchanged","MDT",,"Compliance Risk",,2.85,,,,,
81,"Customer Information Security",5.00,"Information Security",,"Large Branch & Backup Site","Unauthorized access to customer information or unauthorized access to paper copies of private financial information.","Customer information database, both electronic and paper copies.","GLBA employee training is conducted 2 times a year.  Bank policy prohibits unauthorized disclosure.  Information Security Program is tested annually.","Immediate notification of bank Information Security Officer and network administrator.  Check of logs and other audit tools to help verify missing information.  Convene Senior Management and implement incident response procedures.",2.75,3.50,0.50,1.00,0.50,1.00,3.25,2.00,1.00,1.75,1.00,3.25,1.00,3.50,1.00,2.00,1.00,3.50,1.00,2.00,1.00,1.00,1.00,2.75,1.00,1.00,1.00,2.27,1.47,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.47,1.47,,"Threat Unchanged","MDT",,"Reputational Risk",,2.94,,,,,
82,"Customer Information Security",5.00,"Information Security",,"Large Branch & Backup Site","Bankway Banking System, Bank Employees, Board of Directors have physical and logical access to this data.  Theft, inadvertent loss, or external hackers are threats to this private information.","Customer Information File  (Bankway Banking System- (host data system) (Electronic copy).","Access controlled by system security levels and monitoring/review.  Security program and procedures are contained in the bank's Information Technology Operations Policy.  Outside access is limited by bank firewalls and intrusion detection monitoring.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).  Possible actions include involvement of Federal Authorities, termination of services, etc.",4.25,3.75,0.75,1.00,0.75,1.00,3.75,3.00,1.00,1.75,1.00,3.75,1.00,3.25,1.00,2.00,1.00,4.00,1.00,2.25,1.00,1.00,1.00,3.75,1.00,1.00,1.00,2.57,2.68,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",2.38,2.38,,"Threat Increasing","MDT",,"Operational Risk",,3.58,,,,,
108,"Customer Information Security",5.00,"Information Security",,"Operations Center","Bankway Banking System, Bank Employees, and Board of Directors have physical and logical access to this data.  Theft, inadvertent loss, or external hackers are threats to this private information.","Customer Information File  (Bankway Banking System- (host data system) (Electronic copy).","Access controlled by system security levels and monitoring/review.  Security program and procedures are contained in the bank's Information Technology Operations Policy.  Outside access is limited by bank firewalls and intrusion detection monitoring.  Area is physically controlled and requires locks and escorts.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).  Possible actions include involvement of Federal Authorities, termination of services, etc.",4.25,4.75,0.50,1.00,0.50,1.00,4.00,4.00,1.00,2.50,1.00,4.25,1.00,4.00,1.00,2.50,1.00,4.50,1.00,2.00,1.00,1.50,1.00,4.00,1.00,2.50,1.00,3.17,2.02,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",2.02,2.02,,"Threat Unchanged","MDT",,"Reputational Risk",,4.04,,,,,
